title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source,summary
The Hobbit: The Prelude to the Lord of the Rings,2003-11-11,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,GameCube,61,dataset3,
The Hobbit: The Prelude to the Lord of the Rings,2003-11-11,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,PC,62,dataset3,
The Hobbit: The Prelude to the Lord of the Rings,2003-11-11,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,PlayStation 2,59,dataset3,
The Hobbit: The Prelude to the Lord of the Rings,2003-11-11,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,Game Boy Advance,67,dataset3,
Lost Orbit,2015-05-12,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,PC,72,dataset3,
Lost Orbit,2015-05-12,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,PlayStation 4,77,dataset3,
SwapQuest,2016-02-23,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,iOS,85,dataset3,
SwapQuest,2016-02-23,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,PlayStation Vita,64,dataset3,
SwapQuest,2016-02-23,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,Xbox One,tbd,dataset3,
SwapQuest,2016-02-23,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,PlayStation 4,64,dataset3,
Command & Conquer: Red Alert 2 - Yuri's Revenge,2001-10-10,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,PC,86,dataset3,
Lumines,2005-03-22,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,PSP,89,dataset3,
Armored Core 3,2002-09-05,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,PlayStation 2,74,dataset3,
Armored Core 3,2002-09-05,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,PSP,43,dataset3,
Amped 2,2003-10-28,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,Xbox,80,dataset3,
Sword of the Stars 2: Lords of Winter,2011-10-28,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,PC,44,dataset3,
Buzz! Junior: Dino Den,2008-02-22,Cohort Studios,SCEE,Trivia,,,PlayStation 2,69,dataset3,
Neon White,2022-06-16,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,Nintendo Switch,88,dataset3,
Neon White,2022-06-16,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,PC,89,dataset3,
Neon White,2022-06-16,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,PlayStation 5,88,dataset3,
BlazBlue: Continuum Shift Extend,2012-02-14,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,PlayStation Vita,83,dataset3,
BlazBlue: Continuum Shift Extend,2012-02-14,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,Xbox 360,79,dataset3,
BlazBlue: Continuum Shift Extend,2012-02-14,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,PlayStation 3,73,dataset3,
Cosmic Star Heroine,2018-08-14,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,PlayStation 4,76,dataset3,
Cosmic Star Heroine,2018-08-14,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,PlayStation Vita,tbd,dataset3,
Cosmic Star Heroine,2018-08-14,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,PC,77,dataset3,
Cosmic Star Heroine,2018-08-14,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,Nintendo Switch,78,dataset3,
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,2023-03-21,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,PlayStation 5,72,dataset3,
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,2023-03-21,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,Meta Quest,tbd,dataset3,
MXGP: The Official Motocross Videogame,2014-11-18,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,PlayStation 3,67,dataset3,
MXGP: The Official Motocross Videogame,2014-11-18,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,Xbox 360,68,dataset3,
MXGP: The Official Motocross Videogame,2014-11-18,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,PC,tbd,dataset3,
MXGP: The Official Motocross Videogame,2014-11-18,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,PlayStation 4,66,dataset3,
